,Review Header,Reviews,Ratings
4492,Terrible product,"Just one fall ,screen got badly damaged, though it having corning gorilla glass",1.0
4493,Fabulous!,Got my Redmi Note5 Pro yesterday & its an awesome phone,5.0
4494,Did not meet expectations,really so bad mobile,1.0
4495,Did not meet expectations,Hangs too much within a month of use,1.0
4496,Worst experience ever!,1K price increase,1.0
4497,Utterly Disappointed,Not good raising the price for the mobile showing demand as the reason. Has heating issue and in call volume is low.,1.0
4498,Simply awesome,"Whichever smartphone may follow, it is hard to beat the all round performance of the Note 5 Pro. Even though the Asus Zenphone Max Pro tried to beat it on its own ground, Note 5 Pro takes the crown away with its unbeatable camera in the price segment. It goes on winning accolades with its good camera performance till it meets OPPO F7 as the opposition, which is Rs. 7000/- costlier than the RN 5 Pro. So, upto the Rs. 20000/- segment, RN 5 Pro is the winner all the way.",5.0
4499,Useless product,Very bad product,1.0
4500,Nice,Phone better but price high 1000 rs extra not bad,3.0
4501,Battery,Battery not good...,5.0
4502,AWESOME PHONE. KNOW HOW TO ORDER,Phone is awesome but the ordering is a bit tricky. it needs a lot of patience. I have ordered 12 redmi note 5 Pro. to know the guaranteed trick watch my video on YouTube search DBworld tips like if you find it useful,5.0
4503,Decent product,it has not dual led flash,3.0
4504,Perfect product!,"initially Phones's music is low but when you update it,it becomes fantastic and normal.Front Camera is absolutely mind blowing.It is giving a bouquet effect and serious competition to vivo v9.Its rear camera is also very good.Bouquet effect is better than any other phone in this range in market.Features are far batter than moto g5 s plus and vivo v7.Very light weight and looks are just awesome.Rear camera peeps out of body about 3mm like i phone.Display is just superb.Battery lasts one day in a full charge.No heating issues yet after using it for 10 days.Overall presently it is the best budget phone.",5.0
4505,Fabulous!,The phone is awesome at this price range. Camera is pretty good. Batery backup awesome. For heavy users it easily gives you one day usage on full charge. suoports quick charging but out of box charger is not quick charger. For quick charging one can use moto g5s turbo charger.,5.0
4506,Worst experience ever!,bad experience with flash sale.but overall product is very nice,1.0
4507,Fabulous!,Nice,5.0
4508,Just wow!,Good product quality. Fast delivery. Thanks,5.0
4509,Mind-blowing purchase,super product,5.0
4510,Awesome,tagda product,5.0
4511,Worth every penny,Excellent Phone,5.0
4512,Useless product,Product was very good but delivery was very very worst..,1.0
4513,Terrific,This one is still better than Asus Zenfone pro m1.It's camera is best in this price range.Amazing battery backup.Flawless performance.Elegant design.Just go for it,5.0
4514,Very Good,I was trying from its first sale and finally got Mi Note 5 Pro in its 8th Flash Sale and after using it for 10 days found Mobile is Awesome. Nice part is Battery and Selfi camera. Good finger print sensor. Mi must provide Oreo update as soon as possible to make the mobile more karizmatic.,4.0
4515,Pretty good,nice mobile camera is very good ....,4.0
4516,Really Nice,After long time ..almost 2 month...I got this phone...But please improve your flash sale..... otherwise you will may lose your customer in future.....,4.0
4517,Hated it!,"After 9 days using Radmi note 5pro my review.1)loud speaker bursting. 2)when what's app is calling video then sound loud speaker bursting and also  the sound of the time loud speaker in the movie bursting.3)I also compliant on flipkart and flipkart technician visited but technician says that flipkart will not return for this little thing but this is not a small thing , it is a big thing for me.",1.0
4518,Super!,very nice,5.0
4519,Waste of money!,"The phone worked well for 25 days, then one night the battery was 30% and when woke up in the morning the phone is totally dead.  Tried recharging it but of no use.  Don't go with this phone.",1.0
4520,Just wow!,battery backup is excellent and camera is super but due to bad flash sale  I got phone too late,5.0
4521,Really Nice,Good screen and awsome camera... Specially that selfie cam....  appreciated...battery backup is good and we need 4k mah battery minimum these days or higher.i guess asus came up with a better phone with all the drawbacks of note 5 covered.,4.0
4522,Low Budget beast,"So far, I did not face much troubles with this phone.Display is good and aspect ration is 18:9 which is pretty big.Front camera has good depth effect than the rear camera.Some problems I had were my wifi disconnects and connects frequently when I use hotspots from other mobile. This is a bit irritation, but as this is a software issue, future updates may rectify.Eagerly waiting for Oreo.",4.0
4523,Nice product,"display and performance is very good.but battery backup is not satisfied. compare with note 4 , 5 pro battery draining faster.",4.0
4524,Utterly Disappointed,1 star because of flash sale,1.0
4525,Don't waste your money,Only one star because of flash sale otherwise everything is great in the phone,1.0
4526,"Good product but do not like this flash sales, I got this pr","Good product but do not like this flash sales, I got this product after 2 months of wasting lot of time",1.0
4527,Best in the market!,I bought this phone at 12:28 pm so it means that sale starts again couple of minutes or half an hour after 12:00pm so you should keep refreshing your cart to buy this,5.0
4528,Waste of money!,nice,1.0
4529,Moderate,"worst flash sale ever in filpkart.But phone is gud at this price range. camera, Performance all are gud. But only we have complain about flash sale.",2.0
4530,Improve camera,Over all phone is good but camera isn't satisfactory...,5.0
4531,Excellent,"One of the best phone under 15k , waiting for this from 1 years and finally got it 😍😍😍😍😍😍😍😍",5.0
4532,Don't waste your money,headset not available,1.0
4533,Excellent,"One of the best camera smartphone in this price bracket. 4000 mah battery is giving best performance and the less charging time about 2.5 hr to charge the whole 4000 mah which is very good. Build quality is not excellent compared to other smartphone in this price bracket, but it is not looking ugly in hands. Only disappointed with the single color LED notification light.",5.0
4534,Could be way better,some features shortage.,2.0
4535,Very Good,Amazing phone in this price,4.0
4536,Not recommended at all,China Verient is Batter than Indian Verient...Why Xiaomi,1.0
4537,Fabulous!,I am the first user of red mi 1 s phone in all over india.Since then I allways have liked and used this product . I suggested my relatives to buy this red mi phones.So I am a experienced user of xiaomi's user.And I dare to say that this new red mi note 5 pro phone is excellent.Many people say that this is cheap product so it might not be that good.But I say you can not get more featured phone than this.I suggest that if you want to buy a phone under 20 k then  go for it.This will surely and fully satisfy you.,5.0
4538,Good,amazing phone 👍👍👍👍👍👌👌👌👌camera in very good. 10/10,3.0
4539,Excellent,"I got this phone on flash sale only, But When I want to oder one more for my friend I am not getting the buy option only directly it is giving sold oit only. About Phone is excellent performance and I like the camera and performance both selfi and back has portrai mode",5.0
4540,Terrible product,"Front camera is useless, it whitens your face face along with hair and beards. Main camera is good & works good. Those memes holds true for Redmi note 5 pro also that say ugly people buy Oppo phone so that their photo looks better.If you don't use front camera it's best phone in every other aspects.",1.0
4541,Pretty good,slitly best phon on this price but in my phon some time hang problem occur.....,1.0
4542,Worst experience ever! Read Might be a long review But worth,"Reviewing after using it for a month.Guys,""THE MOBILE SUCKS, PERIOD"". Might be you have seen many reviews stating that this mobile is awesome and performance is superb no lag nothing like that.But I'll tell you the truth. See the mobile is nice for reviewing for only one day or one day usuage. But if you use it for a long time things are like very weird. Okay I don't beat around the bush I'll give the exact reasons why I'm saying this.By the way I'm kinda user who uses Heavily as well as moderately I did all kinds of experiments till now on this mobileWill start with Pros:1. Good  Battery life 2. Gaming is good 3. Fringer print sensor works fine 4. No HeatingWill Now start the cons:1. Software sucks2. There are like thousands of bugs in the software3. What I've noticed till now is like a lot of times app are getting force closed (app not working )4. Front camera is like for example if you are taking only face by keeping your camera horizontally your belly will be caputured in the mobile.It's like picture is either moving    down or goes up. I don't Now Why this  is happening (after the software update)5. There is a time lag for the shots if you are taking from rear camera6. You cant change the music from volume keys by holding them every time we need to take the mobile out of our pockets to change the next track7. Notification indicator is very small8. If you put any contact picture it either be zoomed in or strecthed but it wont be the image how you cropped and it wont fit the screen exactly.9. Face unlock feature is just like to show off that we do have a face lock like flagship mobiles, its not working properly10. While coming to the volume if you reduce the volume below 50% sound wont come from the device  or very very low sound like 5% volume.11. Ram Management is worst12. Facebook app functionality sucks I don't know it is like if you put that app in memory and try to open it again after using some different application it might be removed from the memory or its reloads again.13. Position of earphone jack is not good because when you sleep and using the mobile with earphones on it you cant keep the mobile on your chest you have to hold the mobile and 360 degree rotation of screen is not there (Normally every one will do at Night) 14. Weather widget on the home screen wont update the weather details automatically we have to update it manually",1.0
4543,Unsatisfactory,VERY DISAPPIONTED  NETWORK ISSUES 2G SIGNAL IS VERY WORST IN THAT MOBILE.,1.0
4544,Highly recommended,"First thank you flipkart for such fast delivery. I got the product almost within 24 hours from the time I ordered.      Now my honest  review about the product                        1.battery(9/10)- the 4000 mah battery is a powerhouse, it will easily last for one and a half days under medium usage.              2. Display(7.5/10)- Not the best in class display but still not the worst as well you will either love it or hate it.             3.processor(9/10)- have been using the phone for few weeks now no lags or hangs what so ever no matter what you throw in its way it works effortlessly.                                                             4. Camera- (7.5/10)first if anyone who wants to buy note 5 pro solely because of the camera then i would suggest don't go for this one. The rear camera does a pretty good job and it's a huge improvement from last year's note 4. But the 20 mp front cam is not at all upto the mark and it struggles in low light situation. So for all those selfie lover's would suggest you look for other options.",5.0
4545,Good quality product,"I gave 4 star only for flash sale.... please stop it.ADD per IP address for it's order.Otherwise Device is awesome, I'm a fan of Xiomi products.... I can't say much anything about MI.No problem for heavy tasking, camera, battery or any other features.only lack of type C, Android 8.0.....",4.0
4546,Worth the money,"i have been using Redmi Note 5 Pro for two weeks now. It is not good mobile not only on paper/specs but also in usage. Pro-Excellent displayAttractive designGood cameras (both front and rear)Excellent Performance8 to 10 hrs Screen on time (for heavy users)nearly 1 day standby time (for  heavy users)Note :- Heavy user means about 4 hours of mobile data, 2 hours of video playback, WhatsApp, Calling etc.Cons- Hybrid sim slotNougat out of box (while China version got Oreo)Placement of headphone jack on bottomNo fast charger in boxTakes 2.30 hours for full charge (without fast charger)Rear Camera bump is sometimes annoyingSpeakers not loud for a Redmi mobile (compared to other Redmi mobiles).Few bugs in every software update.Overall Review - Redmi Note 5 Pro has some flaws (which Redmi could have avoided) in it which is annoying sometimes while using. But overall it is really a Beast both in terms of Camera and Performance. I love it.",4.0
4547,Just wow!,dedicated card slot missing.,5.0
4548,Excellent Value of the money,Only Flipkart can give a fast delivery no other can do thatDeliver within 12 hours impossible happens only by Flipkart love the phone with dual cameraCheesy shots can be taken from the same phone,5.0
4549,Brilliant,the devise switch off twice when i clicked camera and then after a while i pressed gallery......twice the same day........and till now i have no problem with the device.......I also has an awesome Camera.......u get everything in Rs.14k. what more you expect at this price.......,5.0
4550,Simply awesome,this phone is filling iPhone x,5.0
4551,Highly recommended,wow. this is better than MI A1.,5.0
4552,Classy product,Very good phone i am very much happy to buy this awesome phone and features and functions of this phone are very good and it's very fast and superb phone note 5 pro and was waiting to buy a new phone for my family,5.0
4553,Worth the money,BEST PHONE IN RHIS SEGMENT BUT HAVING SONG ISSUES WHILE OPENING GALLERY OR FILE MANAGER.,4.0
4554,Mind-blowing purchase,Nice,5.0
4555,Best in the market!,Good feature N specifications in accurate Price,5.0
4556,Terrific,best,5.0
4557,Must buy!,Awesome phone really,5.0
4558,Awesome,Very dangerous phone,5.0
4559,Must buy!,Awesome phone,2.0
4560,Simply awesome,This is truly a beast. Now I no longer regret my 4 failed attempts to buy this phone from flipkart. Good things don't come easy. Awesome job done by Redmi Team and flipkart for a quick deliver.,5.0
4561,Classy product,"very good mobile under 15k ...best display ,best battery, best camera ..only problem if it fall screen will break",5.0
4562,Terrific purchase,Nice,5.0
4563,Worth the money,I'm writing this review after using the phone for 12 daysSo the back camera is not better than Mi A1But xaomi did a good job on the selfie camera on the redmi note 5 proGames run smoothly...Battery back up is excellentDisplay is excellent tooSo I would say if you are looking for a better rear camera you should go for the A1 but if you want a good selfie you should go for the note 5 pro..,4.0
4564,Fabulous!,I must say this is Amazing Phone..i mean it's really unexpected to get this phone in that much budget..and the camera outclasses phone.everything is perfect.. I'm just loving it..Thanks Mi :),5.0
4565,Excellent,Good mobile with Good specs. People those who want to buy the budget mobile with good config just go with Redmi Note 5 Pro. I love Mi.,5.0
4566,Highly recommended,Flipkart is the best for shoping,5.0
4567,Decent product,Service is food but mobile performance is bad 14 days after software problem.,3.0
4568,Worth the money,"Hello Everyone, I purchased this phone on14 th march and delivered on 16 th. Good thing is i fully charged my phone on Friday evening ,and using my GIO number and Airtel number on both slats using 4g data and phone calls till Monday night, Charge drained on Monday night...!!! What a battery back up !!! Yes very good phone but one issue for me Finger print sensor not working for me. So i am giving 4 stars.",4.0
4569,Pretty good,"It's nice...! but ear phone is not there, i think ear phone should be added.",4.0
4570,Excellent,delivery boy service was great,5.0
4571,Best in the market!,Review after 12 hour . it's perfect phone for those whom that love the game..i had played 6 hours continue .no heating issue.no lagging.perfect smartphone under 14000.,5.0
4572,Mind-blowing purchase,Awesome Phone in this range,5.0
4573,"NICE, but OS Bugs is there !!","Reviewed after a day usage.Pros:Mobile looks nice. Display & sound great. Camera both good, Portrait Mode is awesome. High end games running smoothly. Battery, No words.Cons:Lots of bugs, MI should take a step to resolve.1. Camera starts with blue screen after came to normal (Need to resolve this asap)2. Contacts hanging and very slow.3. Lock screen pattern sometimes not showing.4. 1.8 GB RAM is free out of 4GB, my old RN3 1.8 free out of 3GB RAM.  Overall Good mobile., VFM.  Waiting for updates..MI rocks again..",4.0
4574,Delightful,Gd,4.0
4575,Just okay,Very taller not good,3.0
4576,Fabulous!,"The phone is a beast, with excellent battery life..Really fast abd elegant to use.. Big screen..the back and navigation buttons are at the bottom of the screen and not in phone as is the Case with redmi note 4. I ordered pink color, but my personal take is prefer gold over pink.. Really good phone overall.. Difficult to grab it on sale..",5.0
4577,Highly recommended,Super phone,5.0
4578,Mind-blowing purchase,I love flifcard,5.0
4579,Super!,First time i have seen this with different fingers u can open 2 spaces simultaneously it is like 2 phones in one phone .With one finger one spaceWith second onother.Wow truely superb,5.0
4580,Excellent,Good,5.0
4581,Wonderful,Nice phone,5.0
4582,Slightly disappointed,Nice,5.0
4583,Just wow!,Thanks mi and flipcart this product is very good bt costley bt phone is osam,5.0
4584,Highly recommended,Ok  bt hang problem,5.0
4585,Great product,Ok,5.0
4586,Highly recommended,thanx for fast delivery,5.0
4587,Perfect product!,Excellent features as comparison of other compitator,5.0
4588,Excellent,Fantastic phone!Just mind blowing!Game Changer!Smartphone of the yet!!,5.0
4589,Terrific purchase,super phone under15k supper camera rear n front      Snapdragon 636 grat performance optimization  thnx Flipkart fast delivery,5.0
4590,Awesome,Some minor disadvantages such as YouTube is not having 18:9 aspectOverall very good phone at 14k cost,4.0
4591,Terrific,Great phone,5.0
4592,Awesome,Awesome,5.0
4593,Wonderful,Nice mob,5.0
4594,Very Good,Osum mobile... I love redmi note 5 pro,4.0
4595,Great product,good,5.0
4596,Mind-blowing purchase,nice moblie but design not comfortable,5.0
4597,Excellent,good,5.0
4598,Perfect product!,One of the most fabulous phone ever made by mi...cut edge technology sleek design in love with the phone.,5.0
4599,Ok cool,Best at this price,4.0
4600,Perfect product!,Very good phone,5.0
4601,Mind-blowing purchase,Excellent,5.0
4602,Bang for Buck,"Phone is very fast, feels very light weight in our hands, but the only con that I noticed is the IR blaster range is very less, I think they will fix this in future updates but Remaining things are awesome........",5.0
4603,Brilliant,Good design most affordable price with ultimate features,5.0
4604,Terrific purchase,"This is the best product from XiaomiYou can check the review in YouTube channel Notreview.The things which I like the most was Face unlock feature nextly the phone is very slim, light weighted and the Silicon back cover fits very well. It is very greey and if you use the Silicon back cover than your phone will not sleep from your handNext the display quality is outstanding, viewing angles are great, watching movies and playing videos on YouTube was really very good.Talking about camera that produces good portrait mode from the back and from front camera also, since it has a software so that you can capture Blurred background selfie shot that was really cool.This phone comes with dual rear camera of 12 + 5 megapixel with LED flash and in front you will get 20 megapixel of camera with again selfie LED flash.Battery backup again good and it comes with fast charging support but the charger is normal fast charger so you have to use charge your phone fastlyIt comes with normal micro USB port not with Type C supportIt has 3.5 mm audio jack in good along with speaker grills at the bottom which was very nice and produced good amount of loveness.Only thing which I don't like was the product comes with no get 7.2 out of the box at least this would provide for your text but I think with the software update it will be cleared.So make sure that you watch full review in the YouTube channel Notereview",5.0
4605,Must buy!,Fantabulous phone,5.0
4606,Mind-blowing purchase,Mi rules in India now..I'm freaking with this product,5.0
4607,Wonderful,Nice phone,5.0
4608,Must buy!,Good,5.0
4609,Must buy!,Loved it!,5.0
4610,Just okay,Camera not reached at level of Mi A1.,3.0
4611,Very poor,So bad,1.0
4612,Bad quality,lotss of improvement yet required in this handset.  1)  front camera not clear as its mentioned2) available internal memory is 53gb but it's published as 64gb3) it's mentioned full screen visible  but it's false they have taken space for back icons &all4)  at the end flipkart & xiomi should be fair enough with their customers because with a trust we buy it.,2.0
4613,Fabulous!,Nothing can be better than this beast at this price range,5.0
4614,Best in the market!,supab tenx..,5.0
4615,Moderate,Heating issue,2.0
4616,Not good,Not happy with this product. Average Rear camera and below average front camera.,2.0
4617,Pretty good,"Front camera utterflop it is like 5 mp,,, honor 8 mp better than this,,Battery okRam management poor",4.0
4618,Worth every penny,"battery backup is very good, camera is not that great, price is too high,👍😌😃😃😃😃",5.0
4619,Worth every penny,Nice.... but Mi note 5 pro look like Mi Y2 both are same ..... Mi note 5 pro Rs 14999 and Mi Y2 Rs 9999...  Difference Rs 5000 😓😓😥😥,5.0
4620,Just okay,phone is very good bt one of problem in this phone battery charging very slow 0 to 100% charging time minimum 5 hours its main problem... i m not happy....,3.0
4621,Delightful,all over good l....but senser problem....facelock some time does not work,4.0
4622,Bad quality,I am too happy to take it and take a selfie,5.0
4623,Useless product,this is very bad quality phone. I never expected this type of bad experience with mi phones. total waste of money. I am very disappointed. I will never buy mi phone. my phone getting heat. my phone is only 9 moths old. very disappointed. let me know can you replace this phone with your new note 5 pro. because it is under warranty.,1.0
4624,Does the job,"nice featured mobile before 6 or 8 months back if you bought, but now a days it is outdated.. no notch display, camera is also average compare to oppo mobiles, same metal backcover design like a previous old mi mobiles and processor speed also old and slow if you compare with mediatek p60, p70 and Snapdragon 660 speed, operating system which is runs on 7.1.1 nought, at least they will update to Oreo edition.",3.0
4625,Waste of money!,It's display 2 black spotted without any reason and battey backup not good,1.0
4626,Worth Buy,Camera Quality Not up to expectations,4.0
4627,Unsatisfactory,glass is of very low quality.It broked.it must be improved by mi,1.0
4628,Terrible product,ear piece speaker stops working after 2 months not expecting from mi like cheap china brand,1.0
4629,Fair,even though I m mi  fans I m giving 3 star to this phone bcz it is not fully 4g phone and back camera quality is not good. selfie camera is ok.,3.0
4630,Could be way better,"I thing it is more costly in this range,where asus max pro M1 is better.But all over ok.After 7days of use i realize the major problem is takes more time to start a high graphics game.And also it rebooted automatically without any notification.",2.0
4631,Absolute rubbish!,Heating problem. This phone is equal to redmi note 4 but price increased or phone feacher not dewlop,1.0
4632,Horrible,"Product is good but delivery service by flipkart is third class, worst",1.0
4633,Useless product,Very worst purchase experience in my life not even can't give 1 star,1.0
4634,Worst experience ever!,even at normal usage Im facing heating issue,1.0
4635,Perfect product!,"Amazing smart phone ever released by xiaomi..Pros : *Lightning Fast Perfomance*Nice Resolution n Graphic Support*Excellent Camera, especially the selfie providing many options for a click*Very sensitive Touch Screen that responds very quick to your touch*Comes with all necessary Apps so that you don't have ro take the twnsion of searching and installing it* Browsing, Streaming and other internet based activities are very fast*Audio or Sound experience is also superb*Games work like a charmCons :*Battery Backup is not upto the expectations for such a cool smartphone..But its ok and manageable*Not having a Flash Charger*No Headset with the Smartphone (which is not a serious issue..lol)The cons are only about its battery back up and the charger not being a flash charging one..5000 mah should have been there for such a Wonderful Smartphone which is a Perfomance Beast..Thank You For reading my Review..",5.0
4636,Classy product,I like it tooo much...I m fall in love ..awesome selfie camera ..awesome display size.....black colour is very good... it is the best mobile for me ......   I never seen this types of mobile in my life.,5.0
4637,Nice Product,"Pros:Gorgeous Display - Front Display is better than back coverGreat Camera Quality under daylight conditions - Front camera is betterExcellent Battery Backup - Total time to charge (0% to 100%) is 2 hrs 40 min, and battery backup is 38 hrs with full day usage and WIFI on continuouslyMany hidden features which are awesome , example is second space creation, locking the apps to uninstall, dual apps, etc etcSo many shortcuts with this great phoneSound quality is goodCons:No fast chargingHybrid Sim Slot(1 Sim + 1 Sim or 1 Memory Card)Face unlock is not workingBack panel make is not good for camera, Always a risk of the camera lens may get spoilNo NFCNo Dual VoLTE supportPrice is increased by 1k which is not good from MiNo ear phone included in boxNo Screen guard included in boxRatings:Design: 8/10Display: 9/10Sound: 9/10Battery: 9/10Back Camera: 9/10Front Camera: 10/10Processor: 9/10Call Quality: 9/10Face Unlock : 0/10Sound from Speakers: 9/10Sound from Earphones: 9/10Pricing: 8/10Overall Rating: 8/10Deailed Review: So here's what you get inside the box:1. Handset2. Charger (5V, 2amps)[ A fast charger must be given with this model, but they provide only 2Amp charger but still gives a very fast speed of charging ]3. USB charging cable(very short & seems very low quality(design), but gives a very good speed of charging)4. Sim ejector pin5. A transparent soft case[ Thanks to Xiaomi , almost saved my 300 Rs.(original Mi soft cover) ]Design:It looks very decent. The design of the phone is not great but not bad as well. I like the 2.5D glass on the front which gives it a premium look. The phone is slightly taller than Redmi Note 4 but the width is a bit smaller. It is easier to hold because of the smaller width but due to extra length, it will be difficult to hold it through one hand to go to the top of screen. Overall the design is good and I would give it 7/10.Display:The display is large 5.99 inch with 18:9 aspect ratio and Full HD+ resolution. The display is beautiful and sharp. The viewing angles are good and it is sufficiently bright for read properly under sunlight. Display Rating: 8.5/10Sound:The sound output from speakers is excellent. The speakers are loud and clear. Xiaomi has made great improvement here compared to previous Redmi Note 3 and Note 4.The sound output from 3.5mm headphone jack is good. Tip: Use sound enhancer in settings to improve sound quality.The call quality and clarity was great as well both on earphones but might be some echo with speakers(I hope this will be resolved in next some updates).Battery:The battery lasted for 1.5 days with medium to heavy usage. SOT( Screen On Time) was more than 8 hours which is excellent. 10/10Camera:12MP+5MP Dual Rear Camera Pictures are really great and can comete with Oneplus 5T. Pictures have plenty of details and very sharp. Portrait mode is awesome. 20MP Front Camera with FlashGreat pictures & beautify effect works well. The front camera also has a portait mode and gives a nice blur effect. Front flash was useful in low light conditions and improved selfie quality.Processor:Snapdragon 636 chipset latest and 1st phone with it. Just unreachable in processing and gives a tough compition to others under 15000 price range phone.Face Unlock:Face unlock is awesome. It registered face data very quickly. it is working great. I tried it with 2-3 other people and they were not able to open the phone. It is quick(unlocks in less than a second.) Overall, Redmi Note 5 Pro is an excellent value for money device with good looks, great camera, long battery life, powerful chipset. I don't think we will see a better smartphone under 15000 this year. Go for it if your budget is 15000.",5.0
4638,Does the job,1. software issues2. UI not so good3. apps are crashingmobile looks good battery is good camera is good i will be more happy if the phone comes with pure Android,3.0
4639,Utterly Disappointed,Worst phone Ever i have used dual camera is just gimmic and portrait is also vary bad Mi A1 is far better than this.Don't buy just avoid it and wait for Mo A2,1.0
4640,Worst experience ever!,1 star bcs f prc incrs,1.0
4641,Very poor,Bad mobile,1.0
4642,Hated it!,asus Zenfone max pro m1 is much better than Redmi note 5 pro.,1.0
4643,Super!,"after 6 months of use, it has great performanc.",5.0
4644,Did not meet expectations,No innovice in boxI'm very disappointed,1.0
4645,Moderate,not good so much i expected. only created hype about this phone. its a normal phone like all redmi mobiles. but camra is good. other features are normally same compare to other phones . do nt buy samsung mobiles.,2.0
4646,Not recommended at all,Camera quality is very bad...,5.0
4647,Worth every penny,Fantastic Mind-blowing Extraordinary,3.0
4648,Very poor,hanging problem it is not perfect for 13999/- rupees.,1.0
4649,Worth every penny,beautiful mobile best camera battery best best all mobile,5.0
4650,Worst Product,"Very Worst Product in mi. Redmi note 5 pro. I used one hour only Wifi, bluetooth connectivity issue. nokia basic model is better than redmi note 5 pro... Vvery very very product.... dont buy this mobile....",1.0
4651,Could be way better,Good,2.0
4652,Decent product,"lot of bugs in this phone.wireless display not working properly.wifi doesn't get off.xiaomi please stop fooling indian people by selling sub standard product like Redmi note 5 pro.there is nothing ""pro"" in this phone",3.0
4653,Unsatisfactory,Heating issue Mobile is every now hangs,1.0
4654,Terrific purchase,I gift it to my cousin sister on his first job. The mobile is awesome. I have to change now my mobile redmi 3s prime with note 5 pro lake blue color . Wish to god that I book lake blue of redmi note 5 in next sell.,5.0
4655,Unsatisfactory,worst mobile in flipkart the rose gold is bad colour,1.0
4656,Terrible product,Hangs a lot Headset volume very lowBad product,1.0
4657,Great product,Ok,5.0
4658,Value-for-money,It's very good productBut another thing is mi TV 4a my address not delivered && 50000 laptop is delivered to my address && 40000 TV is not delivered why???,5.0
4659,Absolute rubbish!,vare bad product. phone is vare hit play in game,1.0
4660,Awesome,Thanks ekart,5.0
4661,Value-for-money,got the 4 gb ram gold version model. phone looks pretty amazing. hats off to redmi for improving the camera quality. one thing that bugged me is its type 2.0 charging ( not including a type c charger ) and also its face recognition system (which actually is very poor)  hope it gets improved with further software update other than that cheers a wonderful and quality product provided by xiaomi....,4.0
4662,Very Good,Nice,4.0
4663,Excellent,Nice phone,5.0
4664,Perfect product!,"Camera 8/10Processor 8/10Face unlock 6/10Display, design, call quality 9/10Overall look and performance was very good",5.0
4665,Just wow!,Awesome,5.0
4666,Best smartphone,Go for it..,4.0
4667,Does the job,Awsm mobail,5.0
4668,Highly recommended,Exlent phone this prze renge but cemaera not high,5.0
4669,Classy product,"Such an awesome phone .nice display , performance , awesome camera , i cannot complain about anything but i thing Xiaomi should get over from old micro usb to usb c because i always faced issue with micro usb as the stopped working after an year.overall awsome product A++++",5.0
4670,Just wow!,excellent customer service i like the most on flearpcart. wow,5.0
4671,Must buy!,Good service and fast delivery,5.0
4672,Good,Very high priced...does not satisfactory price....when take pocs in portrait mode looks like pics taken by phone of worth 5000 ...it should have price of 12000...No comparison with mi A1....,3.0
4673,Hated it!,Quality of Screen is worst. Purchased 15 days back and today it just Falls from sofa and it is badly cracked all around.Horrible quantity of Screen. I suggest all to do not purchase. They have compromised with completely westage of money.,1.0
4674,Worst experience ever!,"Product is good in this price but camera portrait mode is bad...i mean boor, don't recognize edge perfectly",4.0
4675,Worst experience ever!,"Poor product, poor camera",1.0
4676,Worthless,"Don't buy this phone, Android system software corrupted with two day use",1.0
4677,Value-for-money,"Everything other than system UI is great. i have been using this phone for past 10 days, this system got so much of bugs which pokes u couple of time in a day.......Hope they gives updates regularly with couple of patches.....and theres too much of bloatware in the system. Due to lack of good Rom this beast suffers inshort you won't have a smooth experience",4.0
4678,Could be way better,very poor,2.0
4679,Hated it!,Usles product,1.0
4680,Just wow!,"Short Discription Xiaomi Redmi Note 5 Pro runs Android 7.1.2 Nougat out of the box. The smartphone has a 5.99-inch Full HD+ IPS display. It comes with dual 12 MP + 5MP rear cameras with an LED flash and a 20 MP front-facing camera. The phone has a Beautify 4.0 mode and a frontal LED flash which can click amazing selfies.The phone is powered by a 1.8GHz octa-core Snapdragon 636 processor with 4 GB of RAM and 64 GB of internal storage expandable via a microSD card up to 128 GB. Connectivity options included in the Redmi Note 5 Pro are 4G, Wi-Fi, Bluetooth 4.2, GPS, Infrared, 3G, and a micro USB 2.0 port. Under the hood, the device is powered by a Li-Po 4,000mAh battery with fast charging support.The phone has a rear mounted fingerprint sensor for complete security. The Redmi Note 5 Pro smartphone is available in Black, Gold, Rose Gold, and Blue colours. Xiaomi Redmi Note 5 Pro was launched in February 2018 & runs on Android 7.0 OS. The Smartphone is available in more than three color options i.e.Black, Lake Blue, Gold, Rose Gold & has a built in fingerprint sensor as the primary security feature, along with the host of connectivity options in terms of 3G, 4G, Wifi capabilities. Priced at Rs. 13999 the phone is available with 64 GB of internal storage.The Smartphone is powered by 1.8 GHz Octa core Snapdragon 636 Processor. A 4 GB of RAM & Adreno 506 graphics processor ensures phone runs smoothly even the most memory intensive applications & still shows no signs of lag. 64 GB of internal storage can be expanded via a microSD card. The Phone comes with a large 4000 mAh battery to support it's 5.99 inch screen with an FHD Plus display having a resolution of 2160 x 1080. The screen is also protected by a durable Scratch Resistant glass.Xiaomi Redmi Note 5 Pro boasts of dual primary camera of 12 + 5 megapixel and 20 megapixel front Camera. It also supports Face Detection and high dynamic range(HDR) imaging.",5.0
4681,Terrible product,unethical to drop prices just a week after purchase. really a shame to depend on Flipkart to offer best prices. really asking for people to choose other shopping options....very unhappy....,1.0
4682,Bad quality,"Poor battery, heating issues, camera quality is average, overall all not upto the mark. after three months usage.",2.0
4683,Awesome,why there is one review needed when you know more than 50 lacs units are sold in India...!!!! Awesome phone..  and I get it in 11700/- what is best than that? Good delivery service by FC.,5.0
